dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
125,late,5,125,700,7,192,[392],['higher'],[2],1,1,1,2098,[200],[200]
,,,,700,7,40000,,,,,2,1,2181,[False],[False]
-4,early,5,4,700,7,392,[192],['lower'],[2],1,3,1,2010,[-200],[200]
,,,,700,7,40000,,,,,4,1,2023,[False],[False]
-27,early,4,27,700,7,192,[392],['higher'],[7],1,5,1,2368,[200],[200]
,,,,700,7,40000,,,,,6,1,2456,[False],[False]
19,late,4,19,700,7,220,[440],['higher'],[7],1,7,1,2424,[220],[220]
-19,early,4,19,700,7,392,[440],['higher'],[6],1,8,1,2154,[48],[48]
-4,early,5,4,700,7,392,[192],['lower'],[2],1,9,1,2476,[-200],[200]
-63,early,4,63,700,7,192,[220],['higher'],[2],1,10,1,2465,[28],[28]
19,late,5,19,700,7,192,[440],['higher'],[7],1,11,1,2182,[248],[248]
-63,early,5,63,700,7,392,"[220, 192, 440]","['lower', 'lower', 'higher']","[4, 2, 3]",3,12,1,2450,"[-172, -200, 48]","[172, 200, 48]"
,,,,700,7,40000,,,,,13,1,2353,[False],[False]
-27,early,6,27,700,7,440,[192],['lower'],[3],1,14,1,2498,[-248],[248]
,,,,700,7,40000,,,,,15,1,2440,[False],[False]
-8,early,5,8,700,7,192,"[392, 220]","['higher', 'higher']","[7, 2]",2,16,1,2002,"[200, 28]","[200, 28]"
-4,early,4,4,700,7,220,"[192, 192]","['lower', 'lower']","[3, 7]",2,17,1,2036,"[-28, -28]","[28, 28]"
-8,early,5,8,700,7,192,"[392, 220]","['higher', 'higher']","[7, 2]",2,18,1,2375,"[200, 28]","[200, 28]"
100,late,5,100,700,7,192,"[220, 392, 392]","['higher', 'higher', 'higher']","[7, 4, 3]",3,19,1,2213,"[28, 200, 200]","[28, 200, 200]"
,,,,700,7,40000,,,,,20,1,2000,[False],[False]
-13,early,4,13,700,7,220,"[440, 392]","['higher', 'higher']","[2, 6]",2,21,1,2127,"[220, 172]","[220, 172]"
-100,early,4,100,700,7,440,[192],['lower'],[7],1,22,1,2428,[-248],[248]
36,late,4,36,700,7,220,[440],['higher'],[6],1,23,1,2274,[220],[220]
,,,,700,7,40000,,,,,24,1,2103,[False],[False]
13,late,5,13,700,7,392,[False],['standard'],[False],0,25,1,2099,[False],[False]
19,late,6,19,700,7,392,[440],['higher'],[5],1,26,1,2122,[48],[48]
,,,,700,7,40000,,,,,27,1,2429,[False],[False]
-19,early,5,19,700,7,440,[False],['standard'],[False],0,28,1,2403,[False],[False]
,,,,700,7,40000,,,,,29,1,2009,[False],[False]
27,late,5,27,700,7,392,[False],['standard'],[False],0,30,1,2237,[False],[False]
,,,,700,7,40000,,,,,31,1,2235,[False],[False]
-80,early,4,80,700,7,440,"[392, 220, 392]","['lower', 'lower', 'lower']","[3, 6, 2]",3,32,1,2019,"[-48, -220, -48]","[48, 220, 48]"
-80,early,5,80,700,7,440,[220],['lower'],[4],1,33,1,2333,[-220],[220]
,,,,700,7,40000,,,,,34,1,2074,[False],[False]
-125,early,6,125,700,7,440,[False],['standard'],[False],0,35,1,2256,[False],[False]
19,late,4,19,700,7,220,[440],['higher'],[7],1,36,1,2121,[220],[220]
-27,early,4,27,700,7,192,[392],['higher'],[7],1,37,1,2016,[200],[200]
,,,,700,7,40000,,,,,38,1,2278,[False],[False]
0,on_time,4,0,700,7,192,"[440, 392]","['higher', 'higher']","[3, 2]",2,39,1,2442,"[248, 200]","[248, 200]"
,,,,700,7,40000,,,,,40,1,2035,[False],[False]
-27,early,6,27,700,7,440,[192],['lower'],[3],1,41,1,2272,[-248],[248]
-125,early,4,125,700,7,220,"[440, 440]","['higher', 'higher']","[6, 7]",2,42,1,2302,"[220, 220]","[220, 220]"
,,,,700,7,40000,,,,,43,1,2290,[False],[False]
100,late,4,100,700,7,392,"[220, 440]","['lower', 'higher']","[2, 3]",2,44,1,2267,"[-172, 48]","[172, 48]"
-36,early,6,36,700,7,440,[False],['standard'],[False],0,45,1,2096,[False],[False]
-4,early,6,4,700,7,192,[False],['standard'],[False],0,46,1,2388,[False],[False]
,,,,700,7,40000,,,,,47,1,2335,[False],[False]
-13,early,6,13,700,7,392,[440],['higher'],[5],1,48,1,2117,[48],[48]
,,,,700,7,40000,,,,,49,1,2144,[False],[False]
-8,early,6,8,700,7,192,[False],['standard'],[False],0,50,1,2320,[False],[False]
,,,,700,7,40000,,,,,51,1,2207,[False],[False]
-100,early,6,100,700,7,220,"[192, 392, 192]","['lower', 'higher', 'lower']","[2, 5, 4]",3,52,1,2304,"[-28, 172, -28]","[28, 172, 28]"
,,,,700,7,40000,,,,,53,1,2467,[False],[False]
-19,early,5,19,700,7,440,[False],['standard'],[False],0,54,1,2119,[False],[False]
,,,,700,7,40000,,,,,55,1,2376,[False],[False]
-13,early,5,13,700,7,220,[False],['standard'],[False],0,56,1,2192,[False],[False]
13,late,4,13,700,7,192,[False],['standard'],[False],0,57,1,2238,[False],[False]
125,late,6,125,700,7,220,"[392, 392, 440]","['higher', 'higher', 'higher']","[4, 5, 2]",3,58,1,2340,"[172, 172, 220]","[172, 172, 220]"
-4,early,4,4,700,7,220,"[192, 192]","['lower', 'lower']","[3, 7]",2,59,1,2363,"[-28, -28]","[28, 28]"
8,late,6,8,700,7,440,[False],['standard'],[False],0,60,1,2008,[False],[False]
,,,,700,7,40000,,,,,61,1,2339,[False],[False]
8,late,5,8,700,7,192,"[440, 392, 392]","['higher', 'higher', 'higher']","[3, 4, 2]",3,62,1,2058,"[248, 200, 200]","[248, 200, 200]"
,,,,700,7,40000,,,,,63,1,2038,[False],[False]
4,late,5,4,700,7,392,[False],['standard'],[False],0,64,1,2094,[False],[False]
,,,,700,7,40000,,,,,65,1,2211,[False],[False]
-80,early,6,80,700,7,192,[220],['higher'],[4],1,66,1,2328,[28],[28]
,,,,700,7,40000,,,,,67,1,2163,[False],[False]
80,late,5,80,700,7,392,[220],['lower'],[4],1,68,1,2348,[-172],[172]
,,,,700,7,40000,,,,,69,1,2085,[False],[False]
-125,early,6,125,700,7,440,[False],['standard'],[False],0,70,1,2172,[False],[False]
63,late,5,63,700,7,192,"[392, 440, 392]","['higher', 'higher', 'higher']","[3, 7, 2]",3,71,1,2391,"[200, 248, 200]","[200, 248, 200]"
48,late,4,48,700,7,192,[False],['standard'],[False],0,72,1,2230,[False],[False]
,,,,700,7,40000,,,,,73,1,2190,[False],[False]
-27,early,4,27,700,7,192,[392],['higher'],[7],1,74,1,2109,[200],[200]
,,,,700,7,40000,,,,,75,1,2033,[False],[False]
0,on_time,4,0,700,7,392,[192],['lower'],[3],1,76,1,2319,[-200],[200]
,,,,700,7,40000,,,,,77,1,2128,[False],[False]
-8,early,4,8,700,7,220,"[192, 192]","['lower', 'lower']","[2, 3]",2,78,1,2077,"[-28, -28]","[28, 28]"
-36,early,5,36,700,7,192,[392],['higher'],[7],1,79,1,2331,[200],[200]
,,,,700,7,40000,,,,,80,1,2439,[False],[False]
-100,early,5,100,700,7,392,[440],['higher'],[2],1,81,1,2361,[48],[48]
0,on_time,5,0,700,7,440,[192],['lower'],[3],1,82,1,2171,[-248],[248]
-80,early,5,80,700,7,440,[220],['lower'],[4],1,83,1,2471,[-220],[220]
,,,,700,7,40000,,,,,84,1,2453,[False],[False]
-13,early,5,13,700,7,220,[False],['standard'],[False],0,85,1,2012,[False],[False]
,,,,700,7,40000,,,,,86,1,2125,[False],[False]
-19,early,5,19,700,7,440,[False],['standard'],[False],0,87,1,2409,[False],[False]
-125,early,6,125,700,7,440,[False],['standard'],[False],0,88,1,2168,[False],[False]
0,on_time,5,0,700,7,440,"[392, 220]","['lower', 'lower']","[4, 7]",2,89,1,2374,"[-48, -220]","[48, 220]"
,,,,700,7,40000,,,,,90,1,2417,[False],[False]
13,late,6,13,700,7,440,[False],['standard'],[False],0,91,1,2184,[False],[False]
,,,,700,7,40000,,,,,92,1,2255,[False],[False]
-100,early,5,100,700,7,392,[440],['higher'],[2],1,93,1,2189,[48],[48]
100,late,4,100,700,7,392,"[220, 440]","['lower', 'higher']","[2, 3]",2,94,1,2297,"[-172, 48]","[172, 48]"
125,late,5,125,700,7,192,[392],['higher'],[2],1,95,1,2350,[200],[200]
,,,,700,7,40000,,,,,96,1,2143,[False],[False]
-63,early,6,63,700,7,220,"[392, 392, 392]","['higher', 'higher', 'higher']","[5, 2, 4]",3,97,1,2080,"[172, 172, 172]","[172, 172, 172]"
8,late,5,8,700,7,192,"[440, 392, 392]","['higher', 'higher', 'higher']","[3, 4, 2]",3,98,1,2162,"[248, 200, 200]","[248, 200, 200]"
,,,,700,7,40000,,,,,99,1,2164,[False],[False]
80,late,6,80,700,7,220,"[392, 440, 440]","['higher', 'higher', 'higher']","[2, 3, 4]",3,100,1,2070,"[172, 220, 220]","[172, 220, 220]"
-8,early,5,8,700,7,192,"[392, 220]","['higher', 'higher']","[7, 2]",2,101,1,2387,"[200, 28]","[200, 28]"
8,late,4,8,700,7,220,[392],['higher'],[3],1,102,1,2208,[172],[172]
19,late,6,19,700,7,392,[440],['higher'],[5],1,103,1,2419,[48],[48]
,,,,700,7,40000,,,,,104,1,2111,[False],[False]
13,late,4,13,700,7,192,[False],['standard'],[False],0,105,1,2101,[False],[False]
,,,,700,7,40000,,,,,106,1,2460,[False],[False]
-19,early,6,19,700,7,392,[220],['lower'],[3],1,107,1,2332,[-172],[172]
8,late,5,8,700,7,192,"[440, 392, 392]","['higher', 'higher', 'higher']","[3, 4, 2]",3,108,1,2106,"[248, 200, 200]","[248, 200, 200]"
27,late,4,27,700,7,392,[192],['lower'],[2],1,1,2,2396,[-200],[200]
63,late,4,63,700,7,440,"[192, 192]","['lower', 'lower']","[2, 7]",2,2,2,2468,"[-248, -248]","[248, 248]"
,,,,700,7,40000,,,,,3,2,2449,[False],[False]
-80,early,6,80,700,7,192,[220],['higher'],[4],1,4,2,2462,[28],[28]
,,,,700,7,40000,,,,,5,2,2310,[False],[False]
36,late,4,36,700,7,220,[440],['higher'],[6],1,6,2,2499,[220],[220]
100,late,4,100,700,7,392,"[220, 440]","['lower', 'higher']","[2, 3]",2,7,2,2203,"[-172, 48]","[172, 48]"
-63,early,6,63,700,7,220,"[392, 392, 392]","['higher', 'higher', 'higher']","[5, 2, 4]",3,8,2,2445,"[172, 172, 172]","[172, 172, 172]"
