dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
4,late,6,4,700,7,440,"[392, 220, 192]","['lower', 'lower', 'lower']","[5, 2, 4]",3,1,1,2254,"[-48, -220, -248]","[48, 220, 248]"
,,,,700,7,40000,,,,,2,1,2462,[False],[False]
100,late,4,100,700,7,392,"[192, 192]","['lower', 'lower']","[6, 7]",2,3,1,2399,"[-200, -200]","[200, 200]"
-100,early,6,100,700,7,392,[220],['lower'],[4],1,4,1,2203,[-172],[172]
,,,,700,7,40000,,,,,5,1,2023,[False],[False]
8,late,5,8,700,7,220,"[392, 392, 192]","['higher', 'higher', 'lower']","[2, 4, 3]",3,6,1,2213,"[172, 172, -28]","[172, 172, 28]"
,,,,700,7,40000,,,,,7,1,2041,[False],[False]
100,late,6,100,700,7,192,[440],['higher'],[3],1,8,1,2467,[248],[248]
36,late,5,36,700,7,392,[False],['standard'],[False],0,9,1,2251,[False],[False]
-13,early,6,13,700,7,440,[False],['standard'],[False],0,10,1,2429,[False],[False]
,,,,700,7,40000,,,,,11,1,2292,[False],[False]
-19,early,4,19,700,7,220,"[192, 192, 440]","['lower', 'lower', 'higher']","[7, 6, 3]",3,12,1,2177,"[-28, -28, 220]","[28, 28, 220]"
,,,,700,7,40000,,,,,13,1,2327,[False],[False]
48,late,4,48,700,7,392,[False],['standard'],[False],0,14,1,2281,[False],[False]
,,,,700,7,40000,,,,,15,1,2422,[False],[False]
13,late,6,13,700,7,220,[440],['higher'],[2],1,16,1,2310,[220],[220]
-63,early,4,63,700,7,392,"[192, 440]","['lower', 'higher']","[6, 7]",2,17,1,2285,"[-200, 48]","[200, 48]"
,,,,700,7,40000,,,,,18,1,2029,[False],[False]
-13,early,6,13,700,7,440,[False],['standard'],[False],0,19,1,2034,[False],[False]
,,,,700,7,40000,,,,,20,1,2229,[False],[False]
63,late,4,63,700,7,440,[192],['lower'],[7],1,21,1,2250,[-248],[248]
125,late,5,125,700,7,392,[220],['lower'],[7],1,22,1,2047,[-172],[172]
,,,,700,7,40000,,,,,23,1,2272,[False],[False]
8,late,4,8,700,7,440,[False],['standard'],[False],0,24,1,2299,[False],[False]
-36,early,4,36,700,7,440,"[392, 392, 392]","['lower', 'lower', 'lower']","[3, 7, 6]",3,25,1,2443,"[-48, -48, -48]","[48, 48, 48]"
100,late,6,100,700,7,192,[440],['higher'],[3],1,26,1,2174,[248],[248]
125,late,5,125,700,7,392,[220],['lower'],[7],1,27,1,2109,[-172],[172]
,,,,700,7,40000,,,,,28,1,2362,[False],[False]
36,late,6,36,700,7,440,"[220, 192]","['lower', 'lower']","[4, 5]",2,29,1,2381,"[-220, -248]","[220, 248]"
