dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
4,late,6,4,700,7,392,[False],['standard'],[False],0,1,1,2102,[False],[False]
,,,,700,7,40000,,,,,2,1,2314,[False],[False]
-100,early,6,100,700,7,392,"[220, 440, 440]","['lower', 'higher', 'higher']","[5, 2, 3]",3,3,1,2405,"[-172, 48, 48]","[172, 48, 48]"
-27,early,6,27,700,7,440,"[192, 192, 220]","['lower', 'lower', 'lower']","[4, 3, 2]",3,4,1,2387,"[-248, -248, -220]","[248, 248, 220]"
,,,,700,7,40000,,,,,5,1,2200,[False],[False]
36,late,6,36,700,7,192,"[392, 220, 392]","['higher', 'higher', 'higher']","[4, 3, 5]",3,6,1,2081,"[200, 28, 200]","[200, 28, 200]"
,,,,700,7,40000,,,,,7,1,2219,[False],[False]
125,late,6,125,700,7,192,"[392, 392, 440]","['higher', 'higher', 'higher']","[4, 2, 5]",3,8,1,2462,"[200, 200, 248]","[200, 200, 248]"
-48,early,4,48,700,7,220,"[192, 440, 192]","['lower', 'higher', 'lower']","[2, 3, 6]",3,9,1,2235,"[-28, 220, -28]","[28, 220, 28]"
0,on_time,5,0,700,7,392,"[192, 220]","['lower', 'lower']","[7, 2]",2,10,1,2074,"[-200, -172]","[200, 172]"
,,,,700,7,40000,,,,,11,1,2098,[False],[False]
-27,early,4,27,700,7,392,[192],['lower'],[3],1,12,1,2087,[-200],[200]
,,,,700,7,40000,,,,,13,1,2434,[False],[False]
4,late,5,4,700,7,440,[220],['lower'],[4],1,14,1,2361,[-220],[220]
4,late,5,4,700,7,440,[220],['lower'],[4],1,15,1,2035,[-220],[220]
13,late,4,13,700,7,220,[192],['lower'],[7],1,16,1,2458,[-28],[28]
,,,,700,7,40000,,,,,17,1,2310,[False],[False]
8,late,5,8,700,7,220,"[392, 440, 392]","['higher', 'higher', 'higher']","[7, 3, 2]",3,18,1,2086,"[172, 220, 172]","[172, 220, 172]"
-4,early,5,4,700,7,440,[192],['lower'],[7],1,19,1,2338,[-248],[248]
,,,,700,7,40000,,,,,20,1,2036,[False],[False]
48,late,5,48,700,7,192,"[440, 440, 440]","['higher', 'higher', 'higher']","[4, 7, 2]",3,21,1,2429,"[248, 248, 248]","[248, 248, 248]"
,,,,700,7,40000,,,,,22,1,2245,[False],[False]
19,late,6,19,700,7,220,"[392, 192, 392]","['higher', 'lower', 'higher']","[4, 3, 2]",3,23,1,2347,"[172, -28, 172]","[172, 28, 172]"
,,,,700,7,40000,,,,,24,1,2303,[False],[False]
27,late,4,27,700,7,192,[220],['higher'],[6],1,25,1,2083,[28],[28]
,,,,700,7,40000,,,,,26,1,2182,[False],[False]
0,on_time,5,0,700,7,440,[392],['lower'],[7],1,27,1,2040,[-48],[48]
-36,early,6,36,700,7,440,[192],['lower'],[4],1,28,1,2169,[-248],[248]
,,,,700,7,40000,,,,,29,1,2100,[False],[False]
-19,early,6,19,700,7,192,[False],['standard'],[False],0,30,1,2118,[False],[False]
13,late,5,13,700,7,192,"[440, 220]","['higher', 'higher']","[3, 7]",2,31,1,2037,"[248, 28]","[248, 28]"
,,,,700,7,40000,,,,,32,1,2021,[False],[False]
8,late,4,8,700,7,220,[False],['standard'],[False],0,33,1,2103,[False],[False]
,,,,700,7,40000,,,,,34,1,2376,[False],[False]
-48,early,5,48,700,7,392,[192],['lower'],[3],1,35,1,2248,[-200],[200]
,,,,700,7,40000,,,,,36,1,2443,[False],[False]
-63,early,5,63,700,7,220,[192],['lower'],[4],1,37,1,2475,[-28],[28]
36,late,4,36,700,7,192,"[220, 440]","['higher', 'higher']","[2, 6]",2,38,1,2356,"[28, 248]","[28, 248]"
,,,,700,7,40000,,,,,39,1,2260,[False],[False]
-13,early,5,13,700,7,392,"[220, 192]","['lower', 'lower']","[2, 3]",2,40,1,2149,"[-172, -200]","[172, 200]"
,,,,700,7,40000,,,,,41,1,2051,[False],[False]
100,late,5,100,700,7,440,"[220, 392]","['lower', 'lower']","[4, 3]",2,42,1,2389,"[-220, -48]","[220, 48]"
0,on_time,5,0,700,7,392,"[192, 220]","['lower', 'lower']","[7, 2]",2,43,1,2494,"[-200, -172]","[200, 172]"
-63,early,6,63,700,7,220,"[440, 192, 192]","['higher', 'lower', 'lower']","[2, 3, 4]",3,44,1,2122,"[220, -28, -28]","[220, 28, 28]"
,,,,700,7,40000,,,,,45,1,2031,[False],[False]
-125,early,6,125,700,7,392,[440],['higher'],[2],1,46,1,2109,[48],[48]
125,late,6,125,700,7,192,"[392, 392, 440]","['higher', 'higher', 'higher']","[4, 2, 5]",3,47,1,2179,"[200, 200, 248]","[200, 200, 248]"
,,,,700,7,40000,,,,,48,1,2095,[False],[False]
27,late,6,27,700,7,440,"[392, 192, 220]","['lower', 'lower', 'lower']","[3, 4, 2]",3,49,1,2339,"[-48, -248, -220]","[48, 248, 220]"
-63,early,4,63,700,7,192,[False],['standard'],[False],0,50,1,2144,[False],[False]
80,late,6,80,700,7,440,"[192, 392, 192]","['lower', 'lower', 'lower']","[4, 5, 3]",3,51,1,2295,"[-248, -48, -248]","[248, 48, 248]"
-36,early,6,36,700,7,440,[192],['lower'],[4],1,52,1,2476,[-248],[248]
,,,,700,7,40000,,,,,53,1,2029,[False],[False]
80,late,5,80,700,7,220,[False],['standard'],[False],0,54,1,2161,[False],[False]
-13,early,4,13,700,7,192,[220],['higher'],[2],1,55,1,2442,[28],[28]
,,,,700,7,40000,,,,,56,1,2183,[False],[False]
4,late,6,4,700,7,392,[False],['standard'],[False],0,57,1,2488,[False],[False]
48,late,5,48,700,7,192,"[440, 440, 440]","['higher', 'higher', 'higher']","[4, 7, 2]",3,58,1,2210,"[248, 248, 248]","[248, 248, 248]"
,,,,700,7,40000,,,,,59,1,2324,[False],[False]
125,late,4,125,700,7,440,[220],['lower'],[3],1,60,1,2452,[-220],[220]
,,,,700,7,40000,,,,,61,1,2075,[False],[False]
19,late,6,19,700,7,220,"[392, 192, 392]","['higher', 'lower', 'higher']","[4, 3, 2]",3,62,1,2111,"[172, -28, 172]","[172, 28, 172]"
,,,,700,7,40000,,,,,63,1,2084,[False],[False]
-36,early,4,36,700,7,220,[False],['standard'],[False],0,64,1,2165,[False],[False]
8,late,6,8,700,7,192,"[440, 440]","['higher', 'higher']","[3, 4]",2,65,1,2057,"[248, 248]","[248, 248]"
8,late,5,8,700,7,220,"[392, 440, 392]","['higher', 'higher', 'higher']","[7, 3, 2]",3,66,1,2272,"[172, 220, 172]","[172, 220, 172]"
,,,,700,7,40000,,,,,67,1,2327,[False],[False]
-125,early,5,125,700,7,192,[False],['standard'],[False],0,68,1,2020,[False],[False]
,,,,700,7,40000,,,,,69,1,2136,[False],[False]
8,late,5,8,700,7,220,"[392, 440, 392]","['higher', 'higher', 'higher']","[7, 3, 2]",3,70,1,2112,"[172, 220, 172]","[172, 220, 172]"
-80,early,6,80,700,7,440,[192],['lower'],[2],1,71,1,2479,[-248],[248]
,,,,700,7,40000,,,,,72,1,2420,[False],[False]
-125,early,4,125,700,7,192,[440],['higher'],[7],1,73,1,2186,[248],[248]
-80,early,5,80,700,7,440,"[192, 220]","['lower', 'lower']","[7, 2]",2,74,1,2410,"[-248, -220]","[248, 220]"
-100,early,6,100,700,7,392,"[220, 440, 440]","['lower', 'higher', 'higher']","[5, 2, 3]",3,75,1,2481,"[-172, 48, 48]","[172, 48, 48]"
,,,,700,7,40000,,,,,76,1,2436,[False],[False]
4,late,4,4,700,7,192,"[220, 392]","['higher', 'higher']","[6, 3]",2,77,1,2050,"[28, 200]","[28, 200]"
19,late,4,19,700,7,392,[False],['standard'],[False],0,78,1,2223,[False],[False]
,,,,700,7,40000,,,,,79,1,2236,[False],[False]
-100,early,4,100,700,7,440,"[392, 392]","['lower', 'lower']","[6, 3]",2,80,1,2396,"[-48, -48]","[48, 48]"
13,late,5,13,700,7,192,"[440, 220]","['higher', 'higher']","[3, 7]",2,81,1,2312,"[248, 28]","[248, 28]"
,,,,700,7,40000,,,,,82,1,2315,[False],[False]
48,late,4,48,700,7,392,[220],['lower'],[7],1,83,1,2447,[-172],[172]
-100,early,4,100,700,7,440,"[392, 392]","['lower', 'lower']","[6, 3]",2,84,1,2114,"[-48, -48]","[48, 48]"
-125,early,5,125,700,7,192,[False],['standard'],[False],0,85,1,2321,[False],[False]
0,on_time,4,0,700,7,192,[220],['higher'],[7],1,86,1,2413,[28],[28]
,,,,700,7,40000,,,,,87,1,2168,[False],[False]
-36,early,5,36,700,7,440,"[220, 220, 192]","['lower', 'lower', 'lower']","[4, 7, 2]",3,88,1,2241,"[-220, -220, -248]","[220, 220, 248]"
0,on_time,4,0,700,7,440,"[220, 220, 192]","['lower', 'lower', 'lower']","[2, 3, 7]",3,89,1,2016,"[-220, -220, -248]","[220, 220, 248]"
,,,,700,7,40000,,,,,90,1,2289,[False],[False]
63,late,5,63,700,7,440,[False],['standard'],[False],0,91,1,2388,[False],[False]
,,,,700,7,40000,,,,,92,1,2331,[False],[False]
-13,early,5,13,700,7,392,"[220, 192]","['lower', 'lower']","[2, 3]",2,93,1,2007,"[-172, -200]","[172, 200]"
8,late,6,8,700,7,192,"[440, 440]","['higher', 'higher']","[3, 4]",2,94,1,2487,"[248, 248]","[248, 248]"
,,,,700,7,40000,,,,,95,1,2332,[False],[False]
-27,early,5,27,700,7,192,"[220, 220]","['higher', 'higher']","[3, 4]",2,96,1,2274,"[28, 28]","[28, 28]"
-80,early,4,80,700,7,440,[392],['lower'],[2],1,97,1,2138,[-48],[48]
100,late,6,100,700,7,440,"[392, 192]","['lower', 'lower']","[2, 4]",2,98,1,2113,"[-48, -248]","[48, 248]"
,,,,700,7,40000,,,,,99,1,2126,[False],[False]
48,late,6,48,700,7,192,"[392, 392]","['higher', 'higher']","[4, 2]",2,100,1,2076,"[200, 200]","[200, 200]"
80,late,6,80,700,7,440,"[192, 392, 192]","['lower', 'lower', 'lower']","[4, 5, 3]",3,101,1,2311,"[-248, -48, -248]","[248, 48, 248]"
-19,early,5,19,700,7,220,[False],['standard'],[False],0,102,1,2273,[False],[False]
,,,,700,7,40000,,,,,103,1,2470,[False],[False]
-8,early,6,8,700,7,440,[False],['standard'],[False],0,104,1,2216,[False],[False]
,,,,700,7,40000,,,,,105,1,2493,[False],[False]
19,late,6,19,700,7,220,"[392, 192, 392]","['higher', 'lower', 'higher']","[4, 3, 2]",3,106,1,2234,"[172, -28, 172]","[172, 28, 172]"
-13,early,6,13,700,7,392,"[220, 440, 220]","['lower', 'higher', 'lower']","[4, 5, 3]",3,107,1,2437,"[-172, 48, -172]","[172, 48, 172]"
36,late,6,36,700,7,192,"[392, 220, 392]","['higher', 'higher', 'higher']","[4, 3, 5]",3,108,1,2472,"[200, 28, 200]","[200, 28, 200]"
-27,early,5,27,700,7,192,"[220, 220]","['higher', 'higher']","[3, 4]",2,1,2,2400,"[28, 28]","[28, 28]"
,,,,700,7,40000,,,,,2,2,2348,[False],[False]
100,late,4,100,700,7,192,"[392, 440]","['higher', 'higher']","[3, 7]",2,3,2,2142,"[200, 248]","[200, 248]"
-19,early,5,19,700,7,220,[False],['standard'],[False],0,4,2,2196,[False],[False]
,,,,700,7,40000,,,,,5,2,2174,[False],[False]
63,late,6,63,700,7,192,"[220, 392]","['higher', 'higher']","[5, 4]",2,6,2,2466,"[28, 200]","[28, 200]"
125,late,4,125,700,7,440,[220],['lower'],[3],1,7,2,2227,[-220],[220]
,,,,700,7,40000,,,,,8,2,2259,[False],[False]
-48,early,4,48,700,7,220,"[192, 440, 192]","['lower', 'higher', 'lower']","[2, 3, 6]",3,9,2,2120,"[-28, 220, -28]","[28, 220, 28]"
-27,early,6,27,700,7,440,"[192, 192, 220]","['lower', 'lower', 'lower']","[4, 3, 2]",3,10,2,2350,"[-248, -248, -220]","[248, 248, 220]"
,,,,700,7,40000,,,,,11,2,2418,[False],[False]
63,late,4,63,700,7,440,"[220, 192]","['lower', 'lower']","[6, 7]",2,12,2,2009,"[-220, -248]","[220, 248]"
,,,,700,7,40000,,,,,13,2,2317,[False],[False]
125,late,4,125,700,7,440,[220],['lower'],[3],1,14,2,2342,[-220],[220]
,,,,700,7,40000,,,,,15,2,2202,[False],[False]
-63,early,4,63,700,7,192,[False],['standard'],[False],0,16,2,2121,[False],[False]
,,,,700,7,40000,,,,,17,2,2177,[False],[False]
0,on_time,4,0,700,7,440,"[220, 220, 192]","['lower', 'lower', 'lower']","[2, 3, 7]",3,18,2,2025,"[-220, -220, -248]","[220, 220, 248]"
-36,early,4,36,700,7,220,[False],['standard'],[False],0,19,2,2344,[False],[False]
,,,,700,7,40000,,,,,20,2,2238,[False],[False]
48,late,4,48,700,7,392,[220],['lower'],[7],1,21,2,2073,[-172],[172]
,,,,700,7,40000,,,,,22,2,2371,[False],[False]
0,on_time,4,0,700,7,192,[220],['higher'],[7],1,23,2,2403,[28],[28]
-125,early,6,125,700,7,392,[440],['higher'],[2],1,24,2,2001,[48],[48]
,,,,700,7,40000,,,,,25,2,2249,[False],[False]
100,late,6,100,700,7,440,"[392, 192]","['lower', 'lower']","[2, 4]",2,26,2,2108,"[-48, -248]","[48, 248]"
-80,early,6,80,700,7,440,[192],['lower'],[2],1,27,2,2124,[-248],[248]
,,,,700,7,40000,,,,,28,2,2175,[False],[False]
63,late,6,63,700,7,192,"[220, 392]","['higher', 'higher']","[5, 4]",2,29,2,2281,"[28, 200]","[28, 200]"
19,late,4,19,700,7,392,[False],['standard'],[False],0,30,2,2495,[False],[False]
,,,,700,7,40000,,,,,31,2,2257,[False],[False]
13,late,6,13,700,7,220,[False],['standard'],[False],0,32,2,2374,[False],[False]
100,late,5,100,700,7,440,"[220, 392]","['lower', 'lower']","[4, 3]",2,33,2,2467,"[-220, -48]","[220, 48]"
,,,,700,7,40000,,,,,34,2,2366,[False],[False]
0,on_time,6,0,700,7,392,[False],['standard'],[False],0,35,2,2151,[False],[False]
,,,,700,7,40000,,,,,36,2,2022,[False],[False]
36,late,5,36,700,7,392,[440],['higher'],[4],1,37,2,2431,[48],[48]
-48,early,4,48,700,7,220,"[192, 440, 192]","['lower', 'higher', 'lower']","[2, 3, 6]",3,38,2,2158,"[-28, 220, -28]","[28, 220, 28]"
-48,early,6,48,700,7,192,[220],['higher'],[3],1,39,2,2089,[28],[28]
,,,,700,7,40000,,,,,40,2,2010,[False],[False]
125,late,5,125,700,7,392,[192],['lower'],[7],1,41,2,2485,[-200],[200]
