dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
48,late,5,48,700,7,192,"[440, 440, 440]","['higher', 'higher', 'higher']","[4, 7, 2]",3,42,2,2298,"[248, 248, 248]","[248, 248, 248]"
,,,,700,7,40000,,,,,43,2,2463,[False],[False]
-27,early,6,27,700,7,440,"[192, 192, 220]","['lower', 'lower', 'lower']","[4, 3, 2]",3,44,2,2041,"[-248, -248, -220]","[248, 248, 220]"
,,,,700,7,40000,,,,,45,2,2013,[False],[False]
-4,early,5,4,700,7,440,[192],['lower'],[7],1,46,2,2085,[-248],[248]
,,,,700,7,40000,,,,,47,2,2091,[False],[False]
-19,early,4,19,700,7,220,"[392, 392]","['higher', 'higher']","[2, 7]",2,48,2,2137,"[172, 172]","[172, 172]"
-13,early,4,13,700,7,192,[220],['higher'],[2],1,49,2,2187,[28],[28]
-125,early,4,125,700,7,192,[440],['higher'],[7],1,50,2,2285,[248],[248]
4,late,5,4,700,7,440,[220],['lower'],[4],1,51,2,2014,[-220],[220]
,,,,700,7,40000,,,,,52,2,2002,[False],[False]
19,late,4,19,700,7,392,[False],['standard'],[False],0,53,2,2483,[False],[False]
36,late,6,36,700,7,192,"[392, 220, 392]","['higher', 'higher', 'higher']","[4, 3, 5]",3,54,2,2154,"[200, 28, 200]","[200, 28, 200]"
,,,,700,7,40000,,,,,55,2,2277,[False],[False]
-80,early,5,80,700,7,440,"[192, 220]","['lower', 'lower']","[7, 2]",2,56,2,2364,"[-248, -220]","[248, 220]"
13,late,4,13,700,7,220,[192],['lower'],[7],1,57,2,2417,[-28],[28]
,,,,700,7,40000,,,,,58,2,2296,[False],[False]
8,late,6,8,700,7,192,"[440, 440]","['higher', 'higher']","[3, 4]",2,59,2,2218,"[248, 248]","[248, 248]"
125,late,4,125,700,7,440,[220],['lower'],[3],1,60,2,2484,[-220],[220]
-4,early,6,4,700,7,392,[440],['higher'],[5],1,61,2,2336,[48],[48]
-4,early,4,4,700,7,392,"[192, 440]","['lower', 'higher']","[6, 7]",2,62,2,2147,"[-200, 48]","[200, 48]"
-19,early,6,19,700,7,192,[False],['standard'],[False],0,63,2,2294,[False],[False]
,,,,700,7,40000,,,,,64,2,2127,[False],[False]
13,late,4,13,700,7,220,[192],['lower'],[7],1,65,2,2243,[-28],[28]
,,,,700,7,40000,,,,,66,2,2107,[False],[False]
-8,early,5,8,700,7,192,"[392, 440]","['higher', 'higher']","[2, 7]",2,67,2,2026,"[200, 248]","[200, 248]"
,,,,700,7,40000,,,,,68,2,2440,[False],[False]
-8,early,4,8,700,7,440,"[392, 392]","['lower', 'lower']","[6, 3]",2,69,2,2449,"[-48, -48]","[48, 48]"
-27,early,4,27,700,7,392,[192],['lower'],[3],1,70,2,2444,[-200],[200]
-27,early,5,27,700,7,192,"[220, 220]","['higher', 'higher']","[3, 4]",2,71,2,2373,"[28, 28]","[28, 28]"
,,,,700,7,40000,,,,,72,2,2132,[False],[False]
-80,early,4,80,700,7,440,[392],['lower'],[2],1,73,2,2178,[-48],[48]
-48,early,4,48,700,7,220,"[192, 440, 192]","['lower', 'higher', 'lower']","[2, 3, 6]",3,74,2,2206,"[-28, 220, -28]","[28, 220, 28]"
-13,early,5,13,700,7,392,"[220, 192]","['lower', 'lower']","[2, 3]",2,75,2,2316,"[-172, -200]","[172, 200]"
,,,,700,7,40000,,,,,76,2,2253,[False],[False]
-36,early,6,36,700,7,440,[192],['lower'],[4],1,77,2,2038,[-248],[248]
,,,,700,7,40000,,,,,78,2,2047,[False],[False]
100,late,5,100,700,7,440,"[220, 392]","['lower', 'lower']","[4, 3]",2,79,2,2023,"[-220, -48]","[220, 48]"
,,,,700,7,40000,,,,,80,2,2496,[False],[False]
-100,early,5,100,700,7,192,"[440, 392]","['higher', 'higher']","[2, 3]",2,81,2,2015,"[248, 200]","[248, 200]"
-13,early,6,13,700,7,392,"[220, 440, 220]","['lower', 'higher', 'lower']","[4, 5, 3]",3,82,2,2341,"[-172, 48, -172]","[172, 48, 172]"
,,,,700,7,40000,,,,,83,2,2406,[False],[False]
100,late,4,100,700,7,192,"[392, 440]","['higher', 'higher']","[3, 7]",2,84,2,2378,"[200, 248]","[200, 248]"
-4,early,6,4,700,7,392,[440],['higher'],[5],1,85,2,2486,[48],[48]
-13,early,5,13,700,7,392,"[220, 192]","['lower', 'lower']","[2, 3]",2,86,2,2266,"[-172, -200]","[172, 200]"
-100,early,5,100,700,7,192,"[440, 392]","['higher', 'higher']","[2, 3]",2,87,2,2053,"[248, 200]","[248, 200]"
,,,,700,7,40000,,,,,88,2,2133,[False],[False]
8,late,4,8,700,7,220,[False],['standard'],[False],0,89,2,2292,[False],[False]
36,late,5,36,700,7,392,[440],['higher'],[4],1,90,2,2172,[48],[48]
,,,,700,7,40000,,,,,91,2,2351,[False],[False]
0,on_time,4,0,700,7,192,[220],['higher'],[7],1,92,2,2167,[28],[28]
63,late,4,63,700,7,440,"[220, 192]","['lower', 'lower']","[6, 7]",2,93,2,2439,"[-220, -248]","[220, 248]"
-19,early,4,19,700,7,220,"[392, 392]","['higher', 'higher']","[2, 7]",2,94,2,2071,"[172, 172]","[172, 172]"
,,,,700,7,40000,,,,,95,2,2246,[False],[False]
48,late,5,48,700,7,192,"[440, 440, 440]","['higher', 'higher', 'higher']","[4, 7, 2]",3,96,2,2346,"[248, 248, 248]","[248, 248, 248]"
0,on_time,5,0,700,7,440,[392],['lower'],[7],1,97,2,2190,[-48],[48]
,,,,700,7,40000,,,,,98,2,2453,[False],[False]
27,late,6,27,700,7,440,"[392, 192, 220]","['lower', 'lower', 'lower']","[3, 4, 2]",3,99,2,2322,"[-48, -248, -220]","[48, 248, 220]"
0,on_time,6,0,700,7,192,[False],['standard'],[False],0,100,2,2307,[False],[False]
,,,,700,7,40000,,,,,101,2,2280,[False],[False]
19,late,5,19,700,7,392,[False],['standard'],[False],0,102,2,2070,[False],[False]
,,,,700,7,40000,,,,,103,2,2079,[False],[False]
0,on_time,6,0,700,7,192,[False],['standard'],[False],0,104,2,2359,[False],[False]
,,,,700,7,40000,,,,,105,2,2005,[False],[False]
0,on_time,6,0,700,7,192,[False],['standard'],[False],0,106,2,2290,[False],[False]
36,late,5,36,700,7,392,[440],['higher'],[4],1,107,2,2264,[48],[48]
36,late,4,36,700,7,192,"[220, 440]","['higher', 'higher']","[2, 6]",2,108,2,2157,"[28, 248]","[28, 248]"
-63,early,6,63,700,7,220,"[440, 192, 192]","['higher', 'lower', 'lower']","[2, 3, 4]",3,1,3,2480,"[220, -28, -28]","[220, 28, 28]"
,,,,700,7,40000,,,,,2,3,2140,[False],[False]
-36,early,4,36,700,7,220,[False],['standard'],[False],0,3,3,2299,[False],[False]
,,,,700,7,40000,,,,,4,3,2058,[False],[False]
-19,early,6,19,700,7,192,[False],['standard'],[False],0,5,3,2155,[False],[False]
,,,,700,7,40000,,,,,6,3,2291,[False],[False]
4,late,4,4,700,7,192,"[220, 392]","['higher', 'higher']","[6, 3]",2,7,3,2492,"[28, 200]","[28, 200]"
-125,early,4,125,700,7,192,[440],['higher'],[7],1,8,3,2171,[248],[248]
,,,,700,7,40000,,,,,9,3,2185,[False],[False]
-48,early,6,48,700,7,192,[220],['higher'],[3],1,10,3,2422,[28],[28]
,,,,700,7,40000,,,,,11,3,2044,[False],[False]
-8,early,6,8,700,7,440,[False],['standard'],[False],0,12,3,2288,[False],[False]
,,,,700,7,40000,,,,,13,3,2230,[False],[False]
13,late,5,13,700,7,192,"[440, 220]","['higher', 'higher']","[3, 7]",2,14,3,2270,"[248, 28]","[248, 28]"
,,,,700,7,40000,,,,,15,3,2069,[False],[False]
-63,early,4,63,700,7,192,[False],['standard'],[False],0,16,3,2474,[False],[False]
-19,early,4,19,700,7,220,"[392, 392]","['higher', 'higher']","[2, 7]",2,17,3,2189,"[172, 172]","[172, 172]"
,,,,700,7,40000,,,,,18,3,2284,[False],[False]
-13,early,4,13,700,7,192,[220],['higher'],[2],1,19,3,2129,[28],[28]
80,late,6,80,700,7,440,"[192, 392, 192]","['lower', 'lower', 'lower']","[4, 5, 3]",3,20,3,2054,"[-248, -48, -248]","[248, 48, 248]"
,,,,700,7,40000,,,,,21,3,2209,[False],[False]
-36,early,4,36,700,7,220,[False],['standard'],[False],0,22,3,2426,[False],[False]
80,late,4,80,700,7,440,"[220, 220, 220]","['lower', 'lower', 'lower']","[6, 2, 3]",3,23,3,2101,"[-220, -220, -220]","[220, 220, 220]"
125,late,6,125,700,7,192,"[392, 392, 440]","['higher', 'higher', 'higher']","[4, 2, 5]",3,24,3,2265,"[200, 200, 248]","[200, 200, 248]"
-8,early,4,8,700,7,440,"[392, 392]","['lower', 'lower']","[6, 3]",2,25,3,2224,"[-48, -48]","[48, 48]"
,,,,700,7,40000,,,,,26,3,2148,[False],[False]
-19,early,5,19,700,7,220,[False],['standard'],[False],0,27,3,2263,[False],[False]
,,,,700,7,40000,,,,,28,3,2441,[False],[False]
-63,early,6,63,700,7,220,"[440, 192, 192]","['higher', 'lower', 'lower']","[2, 3, 4]",3,29,3,2454,"[220, -28, -28]","[220, 28, 28]"
-4,early,5,4,700,7,440,[192],['lower'],[7],1,30,3,2345,[-248],[248]
-8,early,4,8,700,7,440,"[392, 392]","['lower', 'lower']","[6, 3]",2,31,3,2357,"[-48, -48]","[48, 48]"
,,,,700,7,40000,,,,,32,3,2491,[False],[False]
-125,early,6,125,700,7,392,[440],['higher'],[2],1,33,3,2019,[48],[48]
,,,,700,7,40000,,,,,34,3,2399,[False],[False]
-8,early,4,8,700,7,440,"[392, 392]","['lower', 'lower']","[6, 3]",2,35,3,2201,"[-48, -48]","[48, 48]"
,,,,700,7,40000,,,,,36,3,2450,[False],[False]
0,on_time,5,0,700,7,392,"[192, 220]","['lower', 'lower']","[7, 2]",2,37,3,2191,"[-200, -172]","[200, 172]"
,,,,700,7,40000,,,,,38,3,2184,[False],[False]
-13,early,6,13,700,7,392,"[220, 440, 220]","['lower', 'higher', 'lower']","[4, 5, 3]",3,39,3,2308,"[-172, 48, -172]","[172, 48, 172]"
-63,early,5,63,700,7,220,[192],['lower'],[4],1,40,3,2115,[-28],[28]
13,late,4,13,700,7,220,[192],['lower'],[7],1,41,3,2152,[-28],[28]
4,late,5,4,700,7,440,[220],['lower'],[4],1,42,3,2409,[-220],[220]
-19,early,6,19,700,7,192,[False],['standard'],[False],0,43,3,2166,[False],[False]
,,,,700,7,40000,,,,,44,3,2358,[False],[False]
-63,early,4,63,700,7,192,[False],['standard'],[False],0,45,3,2435,[False],[False]
-36,early,5,36,700,7,440,"[220, 220, 192]","['lower', 'lower', 'lower']","[4, 7, 2]",3,46,3,2162,"[-220, -220, -248]","[220, 220, 248]"
,,,,700,7,40000,,,,,47,3,2271,[False],[False]
-4,early,6,4,700,7,392,[440],['higher'],[5],1,48,3,2211,[48],[48]
36,late,4,36,700,7,192,"[220, 440]","['higher', 'higher']","[2, 6]",2,49,3,2262,"[28, 248]","[28, 248]"
-80,early,6,80,700,7,440,[192],['lower'],[2],1,50,3,2231,[-248],[248]
-13,early,4,13,700,7,192,[220],['higher'],[2],1,51,3,2304,[28],[28]
80,late,5,80,700,7,220,[False],['standard'],[False],0,52,3,2255,[False],[False]
,,,,700,7,40000,,,,,53,3,2088,[False],[False]
13,late,6,13,700,7,220,[False],['standard'],[False],0,54,3,2128,[False],[False]
,,,,700,7,40000,,,,,55,3,2423,[False],[False]
19,late,5,19,700,7,392,[False],['standard'],[False],0,56,3,2258,[False],[False]
48,late,6,48,700,7,192,"[392, 392]","['higher', 'higher']","[4, 2]",2,57,3,2024,"[200, 200]","[200, 200]"
-48,early,6,48,700,7,192,[220],['higher'],[3],1,58,3,2233,[28],[28]
27,late,4,27,700,7,192,[220],['higher'],[6],1,59,3,2225,[28],[28]
,,,,700,7,40000,,,,,60,3,2275,[False],[False]
0,on_time,5,0,700,7,440,[392],['lower'],[7],1,61,3,2375,[-48],[48]
,,,,700,7,40000,,,,,62,3,2141,[False],[False]
0,on_time,4,0,700,7,440,"[220, 220, 192]","['lower', 'lower', 'lower']","[2, 3, 7]",3,63,3,2066,"[-220, -220, -248]","[220, 220, 248]"
-8,early,6,8,700,7,440,[False],['standard'],[False],0,64,3,2379,[False],[False]
,,,,700,7,40000,,,,,65,3,2049,[False],[False]
-63,early,5,63,700,7,220,[192],['lower'],[4],1,66,3,2131,[-28],[28]
-48,early,5,48,700,7,392,[192],['lower'],[3],1,67,3,2328,[-200],[200]
,,,,700,7,40000,,,,,68,3,2367,[False],[False]
27,late,6,27,700,7,440,"[392, 192, 220]","['lower', 'lower', 'lower']","[3, 4, 2]",3,69,3,2411,"[-48, -248, -220]","[48, 248, 220]"
27,late,5,27,700,7,440,[220],['lower'],[3],1,70,3,2469,[-220],[220]
,,,,700,7,40000,,,,,71,3,2306,[False],[False]
-100,early,6,100,700,7,392,"[220, 440, 440]","['lower', 'higher', 'higher']","[5, 2, 3]",3,72,3,2305,"[-172, 48, 48]","[172, 48, 48]"
19,late,5,19,700,7,392,[False],['standard'],[False],0,73,3,2309,[False],[False]
