dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
,,,,700,7,40000,,,,,64,1,2321,[False],[False]
48,late,4,48,700,7,220,"[392, 392, 392]","['higher', 'higher', 'higher']","[2, 6, 3]",3,65,1,2000,"[172, 172, 172]","[172, 172, 172]"
,,,,700,7,40000,,,,,66,1,2025,[False],[False]
48,late,4,48,700,7,220,"[392, 392, 392]","['higher', 'higher', 'higher']","[2, 6, 3]",3,67,1,2050,"[172, 172, 172]","[172, 172, 172]"
,,,,700,7,40000,,,,,68,1,2450,[False],[False]
4,late,4,4,700,7,192,"[220, 392, 392]","['higher', 'higher', 'higher']","[2, 7, 6]",3,69,1,2248,"[28, 200, 200]","[28, 200, 200]"
,,,,700,7,40000,,,,,70,1,2121,[False],[False]
-36,early,4,36,700,7,192,"[392, 440]","['higher', 'higher']","[3, 2]",2,71,1,2398,"[200, 248]","[200, 248]"
,,,,700,7,40000,,,,,72,1,2437,[False],[False]
80,late,5,80,700,7,192,[False],['standard'],[False],0,73,1,2315,[False],[False]
-8,early,4,8,700,7,392,[192],['lower'],[6],1,74,1,2191,[-200],[200]
-8,early,5,8,700,7,192,[220],['higher'],[7],1,75,1,2479,[28],[28]
,,,,700,7,40000,,,,,76,1,2345,[False],[False]
13,late,4,13,700,7,220,"[192, 392, 392]","['lower', 'higher', 'higher']","[2, 6, 7]",3,77,1,2268,"[-28, 172, 172]","[28, 172, 172]"
-36,early,4,36,700,7,192,"[392, 440]","['higher', 'higher']","[3, 2]",2,78,1,2196,"[200, 248]","[200, 248]"
,,,,700,7,40000,,,,,79,1,2465,[False],[False]
63,late,4,63,700,7,392,[False],['standard'],[False],0,80,1,2220,[False],[False]
0,on_time,5,0,700,7,392,"[440, 220]","['higher', 'lower']","[3, 7]",2,81,1,2353,"[48, -172]","[48, 172]"
